,Sales Package,Model Number,Model Name,Type,Portable,Bluetooth,Memory Card Slot,Configuration,Power Source,Frequency Response,Impedance,Color,Wired/Wireless,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Headphone Jack,Driver Type,Compatible Devices,Connector Type,USB Ports,Amplifier,Other Audio Features,Chassis Material,Controls,Remote Control Support,Power Input,Other System Requirements,Satellite Weight,Width,Height,Depth,Warranty Service Type,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Output (RMS),Display Type,Signal to Noise Ratio,Sensitivity,Memory Card Supported,Charging Time,Battery,Battery Capacity,Bluetooth Range,Driver Size,Coverage Pattern,Cable Length,Subwoofer,Distortion,Technology Used,Other Features,Audio Codec,Maximum Output RMS Per Satellite,Maximum SPL,Tweeter Support,Maximum Output RMS Subwoofer,Maximum Output RMS Center Satellite,Separation,Subwoofer Width,Subwoofer Weight,Subwoofer Height,Subwoofer Depth,Tweeter Diameter,International Warranty,Satellite Width,Satellite Height,Satellite Depth,Center Satellite Width,Center Satellite Height,Center Satellite Depth,Center Satellite Weight
0,1 x 2.0 USB Speaker,Mini 2.0 USB Multimedia Speakers,Mini,Laptop/Desktop Speaker,Yes,No,No,2.0,USB,60Hz-20Khz,4 Ohms,Blue,Wired,No,No,No,Yes,2 x Satellites,"Desktop pc, Mobile, Tablet, Laptop",Speaker Wire,1 USB Ports,Yes Built in,"Box Contents: 2 wired speakers with wired volume controller & USB power input and 3.5mm audio Jack output, 1 year Warranty unless physically damaged, 2 speaker units with 3W RMS each provide a powerful output total of 6W RMS, Each Speaker Unit driver is 50mm in diameter, Frequency Response: 60hz-20khz, Power input is DC 5V via a USB port, Audio Output is through a 3.5mm audio jack, 2.0 USB powered multimedia speaker system for laptops, desktops & smartphones, Wired volume control, Enhanced low frequency effect, Powerful bass & Superior listening experience","Yes, Plastic Chassis",Volume,Wired,USB,"3.5MM Audio Input, USB Power Source",0.1 kg,8 cm,8 cm,8 cm,"Service Centre, Walk in Warranty,For warranty claims, contact us at inquiry@artis.in or call us on 1800 123 8195 (Mon-Sat: 10am-6pm)","1 Year Service Centre, Walk in Warranty, For warranty claims, contact us at inquiry@artis.in or call us on 1800 123 8195 (Mon-Sat: 10am-6pm)",Speaker,"Physical damage, Burn out",1 Year,5 W,RGB LED,95 dB,95 dB,TFT Card,5 hr,Use Time 5 hr,2400 mAh,10 m,2 INCH,180 Degree Vertical,0.2 m,1,5W,Bluetooth,"4 types of LED flash modes, change as you like., grill cover for protect speaker from water, dust, shock., IPX5 waterproof, dustproof, shockproof., Cylindrical shape and built-in left and right channel offer 360° stereo., Support MP3, WMA, WAV, FLAC, APE format music files., Support TF Card or misro SD Card up to 32G, support USB 2.0 Disk., Support USB flash disk plug and play.","AAC, SBC",16 W,0 dB,"inbuilt, 2",10 W,10 W,YES,52 mm,0.1 kg,345 mm,313 mm,16 mm,1 Year,105 mm,173 mm,83 mm,87.5 mm,147 mm,87.5 mm,1.2 kg
1,"2 wired speakers with wired volume controller, USB power input and 3.5mm audio Jack output",S21,S21,Laptop/Desktop Speaker,Yes,No,No,2.0 Channel,DC 5V via a USB port,100hz-20khz,4 Ohms,Black,Wired,No,No,No,Yes,2 x Satellites,"Devices with USB Ports, Desktop PC, Laptop, smartphone",Speaker wire,1 USB Ports,"Yes, Built in","Powerful Surrounding Bass With Stereo audio, Multicolor Led light changing, Dynamic drivers with integrated chip making it attachable with all Bluetooth devices","Yes, Plastic Chassis",Volume knob Up/Down,Wired,DC 5V via a USB port,"Play time depends on Volume and led light (on moderate volume play-back will be 2.5-4 hours as volume increases playback decreases), Pen drive and sd card will be supported upto 64 gb (After 64 gb fully loaded sd and pen drive will not be supported), Does not have calling mic for attending calls, For FM working it requires strong Frequency search area,,so it will not work in area under weak fm receiver",,7.5 cm,12 cm,14 cm,"Service Centre, Walk in Warranty","1 Year Service Centre, Walk in Warranty, For warranty claims, contact us at inquiry@artis.in or call us on 1800 123 8195 (Mon-Sat: 10am-6pm)",Main product,"Physical Damage, Over Voltage, Over current burns",1 Year,10 W,NA,75 dB,108 dB,Micro SD,1.5 hr,"lithium ion, Use Time 3 hr",800 mAh,10 m,16,"Horizontal, Vartical, Surround",1 m,1,<0.5%,Wireless,"DC 5V slot: use the standard Micro USB V8 charging cable for power charging, TF slot, it can decode and play MP3 format audio when put the USB card into the slot, use the mini 3.5 head input through outside devices, When play music, (USB card/TF card/Bluetooth/line in), press short for play/pause, In FM mode, press short to search station automatically, press again to stop searching, surging double bass, using 45MM double external passive radiator to show the surging power of the speaker, listening, feeling and witnessing the bass, Power supply mode: built-in lithium battery function: high-power double speakers, subwoofer stereo",DAC,10 W,82 dB,"Yes, 2",3 W,3 W,35,170 mm,5 kg,190 mm,222 mm,65 mm,1 Year,9 mm,17.2 mm,10.2 mm,,,,
2,"1 N Speaker, 1 N Charging Cable, 1 N AUX Cable",M423SP (PORTABLE HOME TV SOUNDBAR) Dynamic Thunder Sound 2400mAh Battery,Powerpact bass & stereo audio color changIng led Light wireless portable FRK-162,Soundbar,Yes,Yes,Yes,2.0,"Rechargeable, USB",150hz—20khz,4,Multicolor,Wireless,No,Yes,Yes,Yes,2 Speakers,"Laptop / Desktop, Mobile, Home TV",Micro USB,1 USB Ports,Built-in,"Dual Voice Changing Wirelss Karaoke MIc, Support five Deferent Voices With Voice Changing Feature, Vocal Cut Feature Allow you to Sing with any music with your own Voice","Yes, ABS Plastic Chassis","Power, Play/Pause, Previous/next, Light control button",Wireless,220-240V,Please Charge At least half hours before the 1st use (as battery backup may decrease or dead during transition),,38 cm,5.5 cm,5.5 cm,NO WARRANTY,NO WARRANTY,NO WARRANTY,NO WARRANTY,0 Year,3 W,N/A,90 dB,0 dB,No,3 hr,Rechargeable Li-ion,2000 mAh,10 m,16mm,180 Degree Vertical,1 m,1,1,mono,Wall Mountable Soundbar,SBC,3 W,165 dB,,220 W,,,150 mm,1.5 kg,,,20 mm,,115 mm,95 mm,320 mm,,,,
3,"1 x Bluetooth speaker, 1 x USB charging cable",Powerpact bass & stereo audio color changIng led Light wireless portable FRK-162,"Fort S100 with 2 in-built subwoofers, Made in India",Mobile/Tablet Speaker,Yes,3,Yes,2.0 Channel,"Battery(Charge At Least 1 hour Before 1st Use), Charge First Time with your mobile charger if available",150 Hz- 20 KHz,4,Black,Wireless,Yes,Yes,Yes,Yes,Dynamic Drivers,"Mobile, Tablet, Laptop, All Bluetooth enable devices",Aux,1 USB Ports,Yes,"International advanced Wireless chip and circuit design techniques,support all wireless devices.., With Hi-Fi speaker, to make sure the clear and bright sound., Support Micro SD card and USB card, play MP3 format audio., With AUX line in, can directly connect the outside devices,for example, tablet PC/TV/cellphones, It will close automatically after 30 mins if bluetooth mode no connection, Magic speaker system design, stunning dual power &Nbsp& Nbsp& Nbsp, Built in low-frequency amplifier design, more powerful in mid to low frequencies, with better sound quality performance","Yes, Plastic Chassis","Volume, Play, Pause, Track Control, etc.",NA,"5.0 V, 9.0 V",Please charge full of electronics when you use it at first time.,,9 cm,10 cm,12 cm,Reach out to us at info@imaginemarketingindia.com or +91149461882,No warranty,Manufacturing Defects,Physical Damage,1 Year,10 W,LED,90 dB,42 dB,Micro SD,1.5 hr,"Li-Ion, Use Time 6 hr",2800 mAh,10 m,2 x 52mm Drivers,HARD ABS PLASTIC,0.2 m,1,1%,Wireless,LED Indicators,MP3,10 W,,,20 W,,,,,,,,,,,,,,,
4,"Sales Package:�Soundbar, AUX in Cable, User Manual, Warranty Card",Aavante Bar 500 / 503 / 508,"Fort S16 Soundbar with 2 full range drivers, Made in India",Soundbar,,Yes,No,Stereo,DC Adapter,80 - 20000 Hz,6,Black,Wired & Wireless,Yes,No,Yes,Yes,B2B,"Computer, Mobile and Television",Wire,1 USB Ports,YES,HD sound,"No, ABS Chassis","Volume, Play, Pause, Track Control",N/A,DC 5V,Please charge full of electronics when you use it at first time.,,6 cm,7 cm,38 cm,Repair,1 Year Warranty from the Date of Purchase,Physical Damage,Manufacturing Defects,1 Year,100 W,NA,70 dB,42 dB,Yes,3.5 hr,Use Time 12 hrs,2200 mAh,10 m,57mm,HARD ABS PLASTIC,0.3 m,1,,Wireless,"Battery Life : Mid volume 12 hrs, IPX4 rating, Easy responsive controls change music tracks and control volume, Built-in mic for hands free calling",,,,,,,,,,,,,,,,,,,,
5,"Soundbar, Remote, Power Adapter, User Manual, Warranty Card",SBFTS100,Wireless rechargeable portable Premium bass Multimedia FFRTG-113,Soundbar,,4.1,Yes,Stereo Channel,5V DC Type C,50 - 20000 Hz,2,Black,Wireless,No,No,Yes,No,2 Speakers,"Mobile, Computer",C Type USB,1 USB Ports,YES,Blue-tooth range: 10 Meters,"No, Plastic Chassis",Touch,Wireless,<25W,Before first use charge atlest 20 mints for long Battery,,11 cm,89.5 cm,8 cm,Reach out to us at�info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively you can activate your�warranty�by giving a missed call on 9223032222,1 year Brand Warranty,Manufacturing Defects,Physical Damages will not Cover Under Warranty,1 Year,300 W,NA,90 dB,330 dB,Yes SD Card Upto 8 GB,2.5 hr,"Rechargeable (The playing time will depend on the sound level(at extreme level battery back up will be 1.5-2 hours at moderate sound will be 2-4 hours), Use Time 4 hr",800 mAh,10 m,2 Inch,90 Degree Vertical,1.25 m,1,,BLUETOOTH,"Line input	3.5mm jack, Drivers	5.2cm (2.04"") x 2, Separation=75dB, S/N ratio= 75dB",,,,,,,,,,,,,,,,,,,,
6,"1N Soundbar,1N Woofer,1N Aux Cable,1N Remote Control",SBW550 5.1 Surround Soundbar with Rear Satellites and 20.3cm Subwoofer,Zeb Vita Pro with TWS,Home Theatre,,Yes,Yes,5.0,Battery,20-80KHz,3ohm,Black,Wired & Wireless,Yes,Yes,Yes,No,IOS,"All Smartphones, All Bluetooth Devices, Television, Laptop, Tablet",AUX,1 USB Ports,YES,"Soft, clear and dynamic sound all levels clear, Support line in audio input,provide you with computer speakers can be connected to Mobile-phone tablet computer and TV wireless pairing playing music., Sound and play/pause buttons for convenience","No, Plastic Chassis","Mode, VOLUME +/-, Power On/Off",Wireless,DC 5V/1A Adapter or Mobile Charger,,,97.5 cm,51 cm,26 cm,No Warranty,1 Year Warranty from the Date of Purchase,Manufacturing Defects,Physical or Liquid Damage,1 Year,16 W,LED,68 dB,,Micro SD,2 hr,Use Time 10 Hrs,2000 mAh,10 m,2 INCH,,,1,,Dolby Digital Technology,"ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives",,,,,,,,,,,,,,,,,,,,
7,"1 Speaker, USB Cable",SBFTS16,IT-XM BANG SUFB,Soundbar,,5.0,Yes,5.0 Channel,Dc/Battery/Usb,150hz-20khz,4,Black,Wired & Wireless,No,Yes,Yes,Yes,IOS,"Mobile, Laptop, Tablet",Bluetooth,1 USB Ports,"Yes, Built-in",Loud & Clear,"No, Plastic Chassis","Volume, Play, Pause, Track Control, etc.",Wireless,5V,,,35 cm,6 cm,7 cm,Carry-in,No Warranty,Manufacturing Damages,Physical Damages,1 Year,14 W,,75 dB,,yes,2.5 hr,Use Time 10 hr,1000 mAh,10 m,32,,,1,,MEMS Technologies,"Wireless Connectivity, Handsfree Calling, USB Slot, Lightweight 740g Only., Type C Charging, 6-7 Hrs Playback Time",,,,,,,,,,,,,,,,,,,,
8,"Wireless Speaker, Dual Rechargeable Wireless Mic, Type-C Fast Charging Cable, User manual, Warranty Card",Retro Mini Wireless with Dual Karaoke Mic I Voice Changing | Deep Bass I TWS,"SoundDrum 1 10W TWS Portable, Inbuilt-FM & Type C Charging",Party Speaker,,Yes,Yes,2.0,5V DC USB,100 - 18000 Hz,"Main unit : 4 Ohm , Satellite : 4 Ohm",Gold,Wired & Wireless,No,Yes,Yes,Yes,IOS,"MOBILE, TABLET",AUX,1 USB Ports,Yes,"JBL Pro Sound, Rich Bass","Yes, ABS Plastic Chassis","Play /Pause, Power, Volume up & Down",,220-240V,,,18 cm,15 cm,12 cm,Customer Need to Contact Nearest Service Center,1 Year Warranty,Manufacturing Defects,Physical Damage,1 Year,10 W,,90 dB,,YES,5 hr,Use Time 10 hr,2400 mAh,7 m,32,,,1,,,"ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives",,,,,,,,,,,,,,,,,,,,
9,"Speaker, Charging Cable, Audio Cable, User Manual, Warranty Card",Stone 350,"PSPK9 (County) Bluetooth Speaker with Built-in FM Radio ,Aux input",Mobile/Tablet Speaker,,Yes,No,2.0 Channel,AC Adapter,"Main Unit : 20Hz - 200Hz, Satellite : 200Hz - 20KHz",4,"Blue, Silver",Wireless,Yes,Yes,Yes,Yes,1 Subwoofer,"Mobile, Computer, Laptop",Banana Plug for Speaker,1 USB Ports,,"Soft, clear and dynamic sound all levels clear, Support line in audio input,provide you with computer speakers can be connected to Mobile-phone tablet computer and TV wireless pairing playing music., Sound and play/pause buttons for convenience","Yes, HARD PLASTIC, CLOTH Chassis",VOLUME,,5,,,9 cm,9.3 cm,11 cm,off-site,1 Year Manufacturer Warranty,Manufacturing Defects,Any Physical Damages and Accessories,1 Year,9 W,,80 dB,,No,4 hrs,"Li-Polymer, Use Time 12 hr",3000 mAh,10 m,32,,,1,,,"220 W Powerful JBL Sound, Dolby Digital Soundbar, Wireless Subwoofer for Deep Bass, Dedicated Sound Mode for Voice Clarity, Bluetooth, HDMI ARC and Optical Input",,,,,,,,,,,,,,,,,,,,
