,Names,Price,Rating,Total_reviews,Storage,Display,Camera,Battery,Processor,Warranty
0,"Infinix SMART 7 (Night Black, 64 GB)","₹7,299",4.2,"22,944 Ratings & 1,263 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
1,"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,299",4.2,"22,944 Ratings & 1,263 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
2,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,299",4.2,"22,944 Ratings & 1,263 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
3,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,699",4.3,"1,45,916 Ratings & 8,376 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
4,"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,199",4.4,"21,895 Ratings & 1,151 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
5,"Infinix HOT 30i (Mirror Black, 64 GB)","₹8,199",4.2,"3,215 Ratings & 203 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
6,"POCO C51 (Royal Blue, 64 GB)","₹6,999",4.4,"8,518 Ratings & 266 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
7,"Infinix HOT 30i (Diamond White, 128 GB)","₹9,299",4.2,"11,505 Ratings & 782 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
8,"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,199",4.4,"21,895 Ratings & 1,151 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
9,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,199",4.4,"21,895 Ratings & 1,151 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,13MP + AI Lens | 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor,1 Year on Handset and 6 Months on Accessories
